order_date,test_code,order_qty
2024-01-08,A002,152000
2024-01-15,A002,165000
2024-01-22,A002,0
2024-01-29,A002,0
2024-02-05,A002,157000
2024-02-12,A002,0
2024-02-19,A002,0
2024-02-26,A002,0
2024-03-04,A002,171000
2024-01-01,A003,98000
2024-01-08,A003,132000
2024-01-15,A003,103000
2024-01-22,A003,0
2024-01-29,A003,101000
2024-02-05,A003,0
2024-02-12,A003,138000
2024-02-19,A003,0
2024-02-26,A003,0
2024-03-04,A003,109000
2024-01-01,OS002,128000
2024-01-08,OS002,117000
2024-01-15,OS002,121000
2024-01-22,OS002,0
2024-01-29,OS002,134000
2024-02-05,OS002,0
2024-02-12,OS002,119000
2024-02-19,OS002,0
2024-02-26,OS002,0
2024-03-04,OS002,126000
2024-01-01,S003,86000
2024-01-08,S003,0
2024-01-15,S003,0
2024-01-22,S003,91000
2024-01-29,S003,0
2024-02-05,S003,88000
2024-02-12,S003,0
2024-02-19,S003,0
2024-02-26,S003,0
2024-03-04,S003,0
2024-03-11,S003,95000
