order_date,test_code,order_qty
2023-10-02,BRCA1,104
2023-10-09,BRCA1,108
2023-10-16,BRCA1,106
2023-10-23,BRCA1,111
2023-10-30,BRCA1,115
2023-11-06,BRCA1,119
2023-11-13,BRCA1,117
2023-11-20,BRCA1,123
2023-11-27,BRCA1,126
2023-12-04,BRCA1,130
2023-12-11,BRCA1,128
2023-12-18,BRCA1,134
2023-12-25,BRCA1,137
2024-01-01,BRCA1,141
2024-01-08,BRCA1,139
2024-01-15,BRCA1,145
2024-01-22,BRCA1,149
2024-01-29,BRCA1,153
2024-02-05,BRCA1,151
2024-02-12,BRCA1,158
2024-02-19,BRCA1,162
2024-02-26,BRCA1,167
2024-03-04,BRCA1,165
2024-03-11,BRCA1,172
2023-10-02,HPV,86
2023-10-09,HPV,88
2023-10-16,HPV,87
2023-10-23,HPV,90
2023-10-30,HPV,92
2023-11-06,HPV,95
2023-11-13,HPV,94
2023-11-20,HPV,98
2023-11-27,HPV,99
2023-12-04,HPV,103
2023-12-11,HPV,102
2023-12-18,HPV,106
2023-12-25,HPV,108
2024-01-01,HPV,111
2024-01-08,HPV,110
2024-01-15,HPV,114
2024-01-22,HPV,116
2024-01-29,HPV,119
2024-02-05,HPV,118
2024-02-12,HPV,123
2024-02-19,HPV,125
2024-02-26,HPV,128
2024-03-04,HPV,127
2024-03-11,HPV,132
2023-10-02,NIPT,62
2023-10-09,NIPT,65
2023-10-16,NIPT,67
2023-10-23,NIPT,70
2023-10-30,NIPT,73
2023-11-06,NIPT,76
2023-11-13,NIPT,78
2023-11-20,NIPT,82
2023-11-27,NIPT,85
2023-12-04,NIPT,88
2023-12-11,NIPT,90
2023-12-18,NIPT,94
2023-12-25,NIPT,97
2024-01-01,NIPT,101
2024-01-08,NIPT,104
2024-01-15,NIPT,108
2024-01-22,NIPT,112
2024-01-29,NIPT,116
2024-02-05,NIPT,119
2024-02-12,NIPT,123
2024-02-19,NIPT,127
2024-02-26,NIPT,131
2024-03-04,NIPT,135
2024-03-11,NIPT,140
