customer_code,customer_name,order_date,order_amount
C001,서울A병원,2023-06-12,280000
C001,서울A병원,2023-11-17,301000
C001,서울A병원,2024-03-20,328000
C002,부산B의원,2023-05-03,190000
C002,부산B의원,2023-09-11,205000
C002,부산B의원,2024-01-25,227000
C003,대구C센터,2023-02-18,165000
C003,대구C센터,2023-05-22,171000
C003,대구C센터,2023-08-19,176000
C004,광주D병원,2023-10-09,395000
C004,광주D병원,2024-01-08,412000
C004,광주D병원,2024-03-05,428000
C005,인천E랩,2023-03-14,118000
C005,인천E랩,2023-06-20,125000
C005,인천E랩,2023-09-16,129000
C006,대전F의원,2022-12-11,92000
C006,대전F의원,2023-03-08,97000
C006,대전F의원,2023-05-28,102000
C007,울산G병원,2023-12-04,350000
C007,울산G병원,2024-02-01,365000
C007,울산G병원,2024-03-14,379000
C008,세종H의원,2023-07-30,136000
C008,세종H의원,2023-11-21,144000
C008,세종H의원,2024-02-26,155000
C009,수원I센터,2023-01-25,157000
C009,수원I센터,2023-04-12,162000
C009,수원I센터,2023-07-15,169000
C010,창원J병원,2023-08-03,214000
C010,창원J병원,2023-12-15,236000
C010,창원J병원,2024-03-08,249000
C011,고양K의원,2023-10-20,91000
C011,고양K의원,2023-12-18,96000
C011,고양K의원,2024-03-02,104000
C012,천안L병원,2023-06-10,275000
C012,천안L병원,2023-10-06,289000
C012,천안L병원,2024-02-17,307000
C013,전주M의원,2023-02-02,132000
C013,전주M의원,2023-04-30,136000
C013,전주M의원,2023-07-27,141000
C014,청주N병원,2023-09-25,244000
C014,청주N병원,2023-12-27,258000
C014,청주N병원,2024-03-10,271000
C015,포항O센터,2022-11-18,109000
C015,포항O센터,2023-02-16,113000
C015,포항O센터,2023-05-11,118000
