period,year,region,test_code,value
2023-10,2023,서울,BRCA1,132
2023-10,2023,서울,HPV,98
2023-10,2023,부산,BRCA1,89
2023-10,2023,부산,NIPT,70
2023-10,2023,대구,HPV,74
2023-10,2023,대구,NIPT,63
2023-10,2023,광주,BRCA1,77
2023-10,2023,광주,HPV,59
2023-10,2023,인천,BRCA1,84
2023-10,2023,인천,NIPT,68
2023-11,2023,서울,BRCA1,141
2023-11,2023,서울,HPV,104
2023-11,2023,부산,BRCA1,93
2023-11,2023,부산,NIPT,75
2023-11,2023,대구,HPV,78
2023-11,2023,대구,NIPT,67
2023-11,2023,광주,BRCA1,82
2023-11,2023,광주,HPV,62
2023-11,2023,인천,BRCA1,88
2023-11,2023,인천,NIPT,72
2023-12,2023,서울,BRCA1,149
2023-12,2023,서울,HPV,111
2023-12,2023,부산,BRCA1,99
2023-12,2023,부산,NIPT,81
2023-12,2023,대구,HPV,83
2023-12,2023,대구,NIPT,71
2023-12,2023,광주,BRCA1,86
2023-12,2023,광주,HPV,66
2023-12,2023,인천,BRCA1,93
2023-12,2023,인천,NIPT,77
2024-01,2024,서울,BRCA1,161
2024-01,2024,서울,HPV,118
2024-01,2024,부산,BRCA1,106
2024-01,2024,부산,NIPT,88
2024-01,2024,대구,HPV,92
2024-01,2024,대구,NIPT,79
2024-01,2024,광주,BRCA1,95
2024-01,2024,광주,HPV,72
2024-01,2024,인천,BRCA1,102
2024-01,2024,인천,NIPT,84
2024-02,2024,서울,BRCA1,169
2024-02,2024,서울,HPV,124
2024-02,2024,부산,BRCA1,112
2024-02,2024,부산,NIPT,93
2024-02,2024,대구,HPV,97
2024-02,2024,대구,NIPT,83
2024-02,2024,광주,BRCA1,99
2024-02,2024,광주,HPV,76
2024-02,2024,인천,BRCA1,107
2024-02,2024,인천,NIPT,88
2024-03,2024,서울,BRCA1,176
2024-03,2024,서울,HPV,130
2024-03,2024,부산,BRCA1,118
2024-03,2024,부산,NIPT,98
2024-03,2024,대구,HPV,101
2024-03,2024,대구,NIPT,87
2024-03,2024,광주,BRCA1,104
2024-03,2024,광주,HPV,80
2024-03,2024,인천,BRCA1,112
2024-03,2024,인천,NIPT,92
2024-04,2024,서울,BRCA1,183
2024-04,2024,서울,HPV,135
2024-04,2024,부산,BRCA1,123
2024-04,2024,부산,NIPT,102
2024-04,2024,대구,HPV,106
2024-04,2024,대구,NIPT,91
2024-04,2024,광주,BRCA1,109
2024-04,2024,광주,HPV,84
2024-04,2024,인천,BRCA1,116
2024-04,2024,인천,NIPT,96
2024-05,2024,서울,BRCA1,191
2024-05,2024,서울,HPV,140
2024-05,2024,부산,BRCA1,128
2024-05,2024,부산,NIPT,106
2024-05,2024,대구,HPV,110
2024-05,2024,대구,NIPT,95
2024-05,2024,광주,BRCA1,113
2024-05,2024,광주,HPV,88
2024-05,2024,인천,BRCA1,121
2024-05,2024,인천,NIPT,100
2024-06,2024,서울,BRCA1,198
2024-06,2024,서울,HPV,146
2024-06,2024,부산,BRCA1,134
2024-06,2024,부산,NIPT,111
2024-06,2024,대구,HPV,115
2024-06,2024,대구,NIPT,99
2024-06,2024,광주,BRCA1,118
2024-06,2024,광주,HPV,92
2024-06,2024,인천,BRCA1,126
2024-06,2024,인천,NIPT,104
